Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Barra de chocolate tipo Kinder,552,4.4,9.6,34.0,30,22.00,11.00,0.50,0,0.45,0.050,0,0,0,52.0,52.0,52.0,39.0,0,0,x,140,404,271,0.0264,251,0.18,28,1.09,0.21,12,0,85,83,0.093,0.398,1.07,0,0.17
"Ajo, crudo",91,74.2,4.4,0.2,0,0.09,0.01,0.25,0,0.23,0.020,0,0,0,17.9,20.0,1.0,0,2.1,0,1.20,17,401,181,0.299,153,1.70,25,1.16,0.70,3,0,0,0,0.296,0.061,0,8.8,0
"Remolacha, cruda",44,85.6,2.4,0.2,0,0.03,0.03,0.06,0,0.06,0.005,0,0,0,8.3,11.1,6.8,0,2.8,0,0.90,51,399,13,0.075,46,0.80,23,0.35,0.33,109,0,2,0,0.031,0.053,0,9.4,0
"Sardinas, enlatadas en aceite",202,59.6,24.6,11.5,142,1.53,3.87,5.15,0,3.54,0.498,0,0.473,0.509,0,0,0,0,0,0,3.38,307,397,382,0.186,490,2.92,39,1.31,5.25,10,0,32,32,0.080,0.227,8.94,0,7.72
"Hongos, frescos, rehogados",25,91.1,3.6,0.33,0,0.04,0,0.16,0,0.16,0,0,0,0,2.24,4.04,0,0,1.8,0,0.94,12,396,4,0.291,105,0.25,11,0.57,3.99,20,0,0,0,0.096,0.463,0,0,0.32
"Arveja, fresca, cruda",83,71.2,8.9,0.4,0,0.07,0.04,0.19,0,0.15,0.035,0,0,0,10.9,16.6,5.7,0,5.7,0,3.30,38,395,21,0.176,129,1.63,33,1.24,1.14,55,0,36,0,0.189,0.150,0,20.6,0
"Arveja, fresca, hervida",64,77.9,5.4,0.2,0,0.04,0.02,0.10,0,0.08,0.020,0,0,0,10.1,15.6,5.9,0,5.5,0,3.30,38,395,21,0.176,129,1.63,33,1.24,1.14,55,0,36,0,0.189,0.150,0,20.6,0
"Harina de trigo integral, cruda",308,12.4,11.4,3.0,0,0.43,0.28,1.17,0,1.09,0.073,0,0,0,58.8,74.5,1.0,0,12.6,0,1.81,16,394,27,0.48,267,3.30,117,3.8,5.20,28,0,0,0,0.297,0.188,0,0,0
Quinoa inflada,407,1.1,14.9,7.5,0,0.76,1.61,3.29,0,2.98,0.260,0,0,0,70.2,76.6,2.0,2.0,6.4,0,x,0,394,43,0.59,122,3.83,197,3.1,3.00,184,0,0,0,0.089,0.199,0,0,0
"Quinoa, semilla, cruda",330,11.7,13.8,5.1,0,0.64,1.45,2.96,0,2.68,0.234,0.009,0,0.047,57.2,63.3,6.1,0,7.0,0,6.10,6,394,171,0.59,122,9.50,197,3.1,3.00,184,0,1,0,0.089,0.199,0,0.5,0
Chocolate con maní,542,0.5,10.2,33.2,10.0,14.13,8.20,4.37,0,4.37,0.001,0,0,0,50.5,54.3,47.2,47.2,3.8,0,x,41,394,110,0.17,163,1.39,47,0.93,3.44,38,0,35,35,0.140,0.140,0.33,0.9,0
Huevo de chocolate tipo Kinder,538,8.0,8.0,34.0,29,22.50,11.00,0.50,0,0.45,0.050,0,0,0,50.0,50.0,50.0,37.0,0,0,x,125,392,263,0.0256,244,0.17,27,1.06,0.20,9,0,83,81,0.082,0.366,0.99,0,0.16
Maní japonés,523,2.7,18.8,30.0,0,4.67,15.82,5.87,0,5.86,0.015,0,0,0,44.5,48.5,0,0,4.0,0,2.7,390,392,40,0.171,221,6.53,98,2.27,5.74,39,0,0,0,0.061,0.079,0,0,0
"Pollo, pechuga sin piel (horno/pa- rrilla)",151,66.1,30.5,3.2,104,0.99,1.21,0.76,0.01,0.58,0.024,0.085,0.004,0.007,0,0,0,0,0,0,1.33,52,391,5,0.042,258,0.45,34,0.9,12.13,9,0,9,9,0.107,0.213,0.21,0,0.04
"Repollito de Bruselas, crudos",43,84.9,4.4,0.5,0,0.06,0.02,0.15,0,0.05,0.099,0.001,0,0,5.1,8.9,2.2,0,3.8,0,1.3,25,389,42,0.07,69,1.40,23,0.42,0.75,61,0,38,0,0.139,0.090,0,85.0,0
"Repollito de Bruselas, hervidos",33,88.9,2.6,0.5,0,0.10,0.04,0.26,0,0.07,0.140,0.002,0,0,4.5,7.1,1.7,0,2.6,0,1.3,25,389,42,0.07,69,1.40,23,0.42,0.71,43,0,34,0,0.125,0.086,0,72.3,0
Medallón de menta y chocolate,545,6.3,5.0,24.0,6.0,15.00,8.00,0.90,0,0.86,0.045,0,0,0,77.1,79.5,59.0,59.0,1.9,0,0.6,1,389,13,0.06,104,0.57,13,0.6,0.50,1,0,0,0,0.160,0.010,0,0,0
Caldos en cubo,269,9.1,4.4,20.6,30,12.30,8.00,0.30,0,0.00,0,0,0,0,16.5,16.5,13.0,13.0,0,0,49.4,19760,389,125,0,208,2.05,53,0.21,3.60,32,0,0,0,0.195,0.310,0.65,0.5,0
"Cabra, cruda",103,75.8,20.6,2.3,57,0.71,1.03,0.17,0,0.10,0.020,0.060,0,0,0,0,0,0,0,0,1.11,82,385,13,0.256,180,2.83,0,4,3.75,5,0,0,0,0.110,0.490,1.13,0,0
"Chivito, crudo",103,75.8,20.6,2.3,57,0.71,1.03,0.17,0,0.10,0.020,0.060,0,0,0,0,0,0,0,0,1.11,82,385,13,0.256,180,2.83,0,4,3.75,5,0,0,0,0.110,0.490,1.13,0,0
"Escarola, cruda",12,93.3,1.6,0.2,0,0.05,0.00,0.09,0,0.08,0.013,0,0,0,0.9,4.0,0.3,0,3.1,0,0.90,10,381,44,0.099,67,2.77,15,0.79,0.40,142,0,108,0,0.026,0.035,0,11.1,0
"Acelga, cruda",18,92.7,1.8,0.2,0,0.03,0.04,0.07,0,0.06,0.040,0,0,0,2.1,3.7,1.1,0,1.6,0,1.6,213,379,51,0.179,46,1.80,81,0.36,0.38,11,0,306,0,0.036,0.086,0,21.0,0
Chocolatín / chocolate con leche,522,1.5,7.7,29.7,23,18.51,7.19,1.38,0.30,1.25,0.122,0,0,0,56.0,59.4,51.5,44.0,3.4,0,1.78,79,372,189,0.491,208,2.35,63,2.3,0.39,11,0,59,59,0.112,0.298,0.75,0,0
Leche condensada,328,27.2,7.9,8.7,34,5.49,2.43,0.34,0.26,0.27,0.067,0,0,0,54.4,54.4,54.4,43.0,0,0,1.83,127,371,284,0.015,253,0.19,26,0.94,0.21,11,0,74,73,0.090,0.416,0.44,2.6,0.24
"Alcaucil, crudo",41,83.7,2.9,0.4,0,0.04,0.01,0.06,0,0.05,0.017,0,0,0,6.5,11.9,1.0,0,5.4,0,1.10,94,370,40,0.231,94,1.89,60,0.49,0.76,58,0,1,0,0.045,0.063,0,9.9,0
"Alcaucil, hervido",40,84.1,2.9,0.3,0,0.08,0.01,0.15,0,0.10,0.039,0,0,0,6.3,12.0,1.0,0,5.7,0,1.10,94,370,40,0.231,94,1.89,60,0.49,0.76,58,0,1,0,0.045,0.063,0,9.9,0
"Rúcula, cruda",24,91.7,2.6,0.7,0,0.09,0.05,0.32,0,0.13,0.170,0.002,0,0,2.1,3.7,2.1,0,1.6,0,1.4,27,369,160,0.076,52,1.46,47,0.47,0.31,97,0,119,0,0.044,0.086,0,15.0,0
"Lentejas, enlatadas",86,69.6,9.0,0.4,0,0.05,0.06,0.18,0,0.14,0.037,0,0,0,11.6,19.5,1.8,0,7.9,0,1.42,238,369,19,0.251,180,3.33,36,1.27,1.06,181,0,0,0,0.169,0.073,0,1.5,0
"Lentejas, hervidas",88,69.6,9.0,0.4,0,0.05,0.06,0.18,0,0.14,0.037,0,0,0,12.2,20.1,1.8,0,7.9,0,0.83,2,369,19,0.251,180,3.33,36,1.27,1.06,181,0,0,0,0.169,0.073,0,1.5,0
"Zanahoria, cruda",43,85.8,1.1,0.2,0,0.03,0.01,0.10,0,0.10,0.002,0,0,0,9.2,12.0,4.7,0,2.8,0,0.90,22,366,37,0.045,46,0.47,12,0.24,0.30,19,0,835,0,0.080,0.069,0,3.9,0
"Fideos secos integrales / fideos secos de sémola y harina de le- gumbres, crudos",346,8.9,11.6,1.6,0,0.25,0.50,1.12,0,1.06,0.056,0,0,0,71.2,79.1,2.6,0,7.9,0,1.87,14,366,27,0.426,287,3.33,104,2.4,7.95,59,0,0,0,0.371,0.193,0,0,0
"Salmón rosado, crudo",122,75.5,20.5,4.4,46,0.81,1.35,0.81,0.03,0.06,0.045,0.014,0.182,0.333,0,0,0,0,0,0,1.52,75,366,7,0.063,261,0.38,27,0.39,8.00,4,0,35,35,0.080,0.105,4.15,0,10.87
Baño de repostería para cubrir tortas,564,0.8,7.8,37.0,0.2,20.00,13.50,2.25,1.00,2.09,0.160,0,0,0,50.0,53.2,48.0,48.0,3.2,0,1.2,54,365,32,0.7,132,3.13,115,1.62,0.43,13,0,0,0,0.055,0.090,0,0,0
Chocolate light,566,3.5,10.0,35.9,0,21.20,12.50,0.80,0,0.76,0.040,0,0,0,50.6,50.6,7.1,7.1,0.6,0,x,88,365,32,0.7,132,3.13,115,1.62,0.43,13,0,0,0,0.055,0.090,0,0,0
Chocolate para taza,519,0.7,4.2,30.0,0,17.75,9.97,0.97,0,0.90,0.068,0,0,0,58.0,63.9,54.5,54.5,5.9,0,1.2,11,365,32,0.7,132,3.13,115,1.62,0.43,13,0,0,0,0.055,0.090,0,0,0
Hamburguesa de pescado (pes- cadería),136,68.5,23.9,2.5,48,0.60,0.81,0.80,0,0.24,0,0,0.132,0.355,4.5,4.8,0.4,0.2,0.3,0,0.2,285,364,42,0.06,304,2.93,34,0.5,1.72,29,5,6,6,0.114,0.458,1.49,1.5,1.93
Cantimpalo (fiambre),372,41.2,21.1,31.7,108,11.42,14.72,4.90,0.48,4.11,0.178,0.136,0.004,0.007,0.7,0.7,0.3,0,0,0,5.37,1358,363,24,0.096,192,1.36,20,2.67,6.11,0,0,11,11,0.386,0.196,1.15,0,1.44
Salame,372,41.2,21.1,31.7,108,11.42,14.72,4.90,0.48,4.11,0.178,0.136,0.004,0.007,0.7,0.7,0.3,0,0,0,5.37,1358,363,24,0.096,192,1.36,20,2.67,6.11,0,0,11,11,0.386,0.196,1.15,0,0.90
"Arveja, semilla seca entera / parti- da, hervida",88,69.5,8.3,0.4,0,0.05,0.08,0.17,0,0.14,0.028,0,0,0,12.8,21.1,2.9,0,8.3,0,0.68,2,362,14,0.181,99,1.29,36,1,0.89,65,0,0,0,0.190,0.056,0,0.4,0
"Mollejas, crudas",232,67.8,12.2,20.4,223,7.01,7.05,3.80,1.02,2.22,0.140,0,0,0,0,0,0,0,0,0,1.38,96,360,7,0.048,393,2.10,14,2.06,3.45,2,0,0,0,0.109,0.345,2.13,34.0,0
"Cerdo, PROMEDIO (horno/parrilla)",193,62.5,27.5,9.2,84,3.09,3.91,0.86,0.03,0.36,0.015,0.064,0,0,0,0,0,0,0,0,1.11,55,357,18,0.078,231,1.00,25,2.9,6.50,3,0,1,1,0.672,0.311,0.68,0.2,0.8
"Merluza, enlatada en agua y acei- te",170,68.2,23.2,8.6,31,1.13,2.28,4.74,0,4.17,0,0,0.136,0.361,0,0,0,0,0,0,0,238,356,29,0.04,293,2.58,31,0.4,1.55,11,0,0,0,0.070,0.397,1.27,1.0,1.90
"Trigo, grano entero, crudo",294,12.7,12.4,2.0,0,0.45,0.34,0.98,0,0.93,0.048,0,0,0,56.5,69.8,0,0,13.3,0,3.10,9,355,14,0.553,333,2.62,144,4.16,6.74,43,0,0,0,0.419,0.121,0,0,0
"Pescados de río (ej: dorado, pa- lometa, surubí, trucha, etc.), PRO- MEDIO, crudo",134,73.0,20.2,5.9,44,1.84,2.06,0.80,0,0.18,0.108,0,0.172,0.246,0.1,0.1,0,0,0,0,1.4,49,352,38,0.0,204,0.87,24,0.7,3.43,12,0,3,3,0.192,0.156,10.56,0.4,2.70
"Arroz envasado deshidratado listo para preparar con salsa u otros ingredientes (tipo cuatro quesos, primavera, etc.)",355,8.7,8.8,3.5,9.0,1.75,0.75,0.67,0,0.62,0.051,0,0,0,72.1,73.9,5.3,0,1.8,0,5.1,1193,351,140,0.189,369,4.74,88,1.45,1.60,9,0,0,0,0.070,0.048,0,2.1,0
Hígado (rehogado/plancha),169,62.0,26.5,4.7,381,2.53,1.11,1.02,0.34,0.62,0.017,0.308,0,0,5.2,5.2,0,0,0,0,1.63,77,351,6,14.588,485,6.17,22,5.23,17.48,260,0,7744,7728,0.177,3.425,83.13,0.7,1.20
"Pulpo, crudo",78,80.3,14.9,1.0,48,0.23,0.16,0.24,0,0.01,0,0.039,0.076,0.081,2.2,2.2,0,0,0,0,1.6,230,350,53,0.435,186,5.30,30,1.68,2.10,16,0,45,45,0.030,0.040,20.00,5.0,0
"Kale, crudo",26,89.6,2.9,1.5,0,0.18,0.10,0.67,0,0.29,0.378,0.003,0,0,0.3,4.4,1.0,0,4.1,0,1.54,53,348,254,0.053,55,1.60,33,0.39,1.18,62,0,241,0,0.113,0.347,0,93.4,0
Banana,92,74.8,1.2,0.2,0,0.112,0.032,0.073,0,0.046,0.027,0,0,0,20.4,23.0,12.23,0,2.6,0,0.8,1,348,7,0.078,28,0.41,27,0.15,1.20,20,0,3,0,0.061,0.087,0,6.1,0
Maracuyá,67,72.9,2.2,0.7,0,0.06,0.09,0.41,0,0.41,0.001,0,0,0,13.0,23.4,11.2,0,10.4,0,0.8,28,348,12,0.086,68,1.60,29,0.1,1.50,14,0,64,0,0,0.130,0,30.0,0
"Zapallo, crudo",36,89.0,1.0,0.1,0,0.04,0.01,0.02,0,0.01,0.014,0,0,0,7.8,9.1,2.5,0,1.3,0,0.8,3,346,35,x,39,0.75,23,0.24,0.90,22,0,479,0,0.075,0.065,0,15.0,0
"Zapallo, hervido",28,89.7,0.7,0.1,0,0.02,0.01,0.04,0,0.01,0.017,0,0,0,6.2,8.8,2.5,0,2.6,0,0.8,3,346,35,x,39,0.75,23,0.24,0.86,15,0,431,0,0.060,0.062,0,12.8,0
"Corvina, cruda",97,77.0,19.5,1.9,61,0.65,0.69,0.28,0,0.00,0,0.055,0.074,0.058,0.4,0.4,0,0,0,0,1.28,56,345,15,0.042,210,0.37,40,0.42,3.10,15,0,12,12,0.095,0.214,2.50,2.9,0.68
"Pollo de mar, crudo",100,76.3,20.0,2.0,61,0.65,0.69,0.28,0,0.00,0,0.055,0.074,0.058,0.4,0.4,0,0,0,0,1.28,56,345,15,0.042,210,0.37,40,0.42,3.10,15,0,12,12,0.095,0.214,2.50,2.9,0.68
Chorizo seco,425,34.6,21.7,37.0,80,13.10,18.20,3.60,0,2.97,0.168,x,0,0,1.2,1.2,1.2,0,0,0,5.5,1890,340,10,0.16,229,1.52,22,4.2,5.60,2,0,0,0,0.930,0.330,2.80,0,0
Jamón cocido,107,73.2,18.4,3.3,58,1.10,1.37,0.51,0,0.40,0.030,0.040,0,0.010,1.0,x,1.0,0,0.1,0,x,800,340,7,0.12,340,0.70,24,1.8,6.50,19,0,0,0,0.800,0.170,1.00,0,0
Lomito ahumado,115,73.2,18.7,4.0,58,1.10,1.37,0.51,0,0.40,0.030,0.040,0,0.010,1.0,1,1.0,0,0.1,0,x,800,340,7,0.12,340,0.70,24,1.8,6.50,19,0,0,0,0.800,0.170,1.00,0,0
Longaniza,425,34.6,21.7,37.0,80,13.10,18.20,3.60,0,3.00,0.600,x,0,0,1.2,1.2,1.2,0,0,0,5.5,1890,340,10,0.16,229,1.52,22,4.2,5.60,2,0,0,0,0.930,0.330,2.80,0,0
Paleta (fiambre),107,73.2,18.4,3.3,58,1.10,1.37,0.51,0,0.40,0.030,0.040,0,0.010,1.0,1,1.0,0,0.1,0,x,800,340,7,0.12,340,0.70,24,1.8,6.50,19,0,0,0,0.800,0.170,1.00,0,0
Merluza,104,74.1,22.2,1.7,28,0.40,0.56,0.54,0,0.02,0.010,0.032,0.130,0.345,0,0,0,0,0,0,x,130,340,17,0.04,240,2.47,28,0.4,1.48,14,0,0,0,0.071,0.401,1.29,1.1,1.73
"Radicheta, cruda",14,90.0,2.2,0.3,0,0.07,0.01,0.13,0,0.11,0.019,0,0,0,0.7,4.7,0.7,0,4.0,0,1.3,97,339,138,0.295,64,1.71,30,0.42,0.50,110,0,286,0,0.060,0.100,0,14.8,0
Pan de molde con salvado,225,40.4,10.9,2.1,0,0.53,1.20,0.67,0,0.63,0.070,0,0,0,40.7,48.1,5.9,5.9,7.4,0,x,447,338,68,0.227,209,2.47,75,1.77,2.75,162,76,0,0,0.394,0.167,0,0,0
Pan de molde con salvado sin sal,263,40.4,15.0,4.8,0,0.80,3.00,1.20,0,1.08,0.070,0,0,0,40.0,48.1,4.0,4.0,6.4,0,x,50,338,68,0.227,209,2.47,75,1.77,2.75,162,76,0,0,0.394,0.167,0,0,0
"Chinchulines, tripa gorda (horno/ parrilla)",270,61.5,13.8,23.9,188,18.75,1.64,1.38,1.19,1.10,0.275,0,0,0,0,0,0,0,0,0,0.9,58,338,15,0.15,138,2.25,10,3.1,2.50,3,0,66,66,0.050,0.200,0.13,0,0
"Vacuno, cortes magros**, PRO-
MEDIO, horno/parrilla",198,60.9,29.5,8.9,89,3.37,4.22,0.42,0.27,0.22,0.009,0.047,0,0,0,0,0,0,0,0,1.16,63,338,14,0.092,235,2.98,21,6.85,5.95,7,0,1,1,0.077,0.282,2.96,0,0.12
Coco rallado,504,12.6,2.9,35.5,0,31.47,1.51,0.39,0,0.39,0,0,0,0,43.2,47.7,43.2,35.8,4.5,0,1.42,262,337,15,0.313,107,1.92,50,1.82,0.47,8,0,0,0,0.031,0.020,0,0.7,0
Milanesa de carne vacuna rebo- zada (carnicería),160,60.5,18.9,3.0,76,0.89,0.99,0.73,0.05,0.61,0,0,0,0,14.5,15.5,1.4,0.6,1.0,0,2.2,212,337,45,0.1,183,3.69,18,2.8,6.14,41,18,13,13,0.259,0.256,1.62,0,0.17
"Pollo, pechuga sin piel, crudo",114,73.9,22.5,2.6,73,0.56,0.69,0.42,0.01,0.32,0.013,0.048,0.003,0.004,0,0,0,0,0,0,1.13,45,334,5,0.037,213,0.37,28,0.68,9.60,9,0,9,9,0.094,0.177,0.21,0,0.04
"Garbanzos, hervidos",138,60.2,8.9,2.6,0,0.269,0.583,1.156,0,1.11,0.043,0,0,0,19.8,27.4,4.8,0,7.6,0,1.50,8,333,35,0.352,158,2.50,48,1.53,0.53,172,0,1,0,0.116,0.063,0,1.3,0
Hamburguesa de soja congelada,157,61.2,15.7,6.3,5.0,1.44,1.78,2.02,0,1.94,0.081,0.001,0,0,9.4,14.3,1.1,0,4.9,0,2.52,569,333,136,0.2,206,2.41,56,1.26,3.75,124,0,1,0,2.651,0.244,0,4.5,0
Pan de salvado,263,32.3,7.7,7.7,0,3.17,2.65,1.39,0.00,1.05,0.086,0,0,0,40.7,53.2,7.6,7.4,10.3,0,1.3,270,331,19,0.25,236,3.62,100,2.4,4.72,151,67,0,0,0.490,0.194,0,0,0
Pan de salvado sin sal (panade- ría),263,32.3,7.7,7.7,0,3.17,2.65,1.39,0.00,1.05,0.086,0,0,0,40.7,53.2,7.6,7.4,10.3,0,1.3,270,331,19,0.25,236,3.62,100,2.4,4.72,216,96,0,0,0.490,0.194,0,0,0
Queso Fontina fundido light,198,68.0,14.0,14.0,40,7.60,4.00,0.40,0.42,0.36,0.040,0,0,0,4.0,4.0,2.0,0,0,0,x,1040,330,529,0.03,829,0.20,33,2.36,0.18,18,0,250,243,0.070,0.480,1.11,0,1.08
"Conejo, crudo",130,72.8,20.1,5.6,57,1.66,1.50,1.08,0,0.86,0.220,0,0,0,0,0,0,0,0,0,0.72,41,330,13,0.145,213,1.57,19,1.57,7.27,8,0,0,0,0.100,0.150,7.16,0,0
"Papa, hervida",81,77.5,1.7,0.1,0,0.03,0.00,0.04,0,0.03,0.010,0,0,0,18.2,20.0,0.9,0,1.8,0,0.72,5,328,8,0.167,40,0.31,20,0.27,1.31,9,0,0,0,0.098,0.019,0,7.4,0
Pejerrey,110,73.0,23.8,1.5,36,0.36,0.51,0.49,0,0.02,0,0,0.118,0.313,0.3,0.3,0,0,0,0,1.32,87,328,135,0.04,399,0.90,29,0.38,5.48,11,0,0,0,0.012,0.058,1.20,1.0,1.79
Pan de gluten,231,40.0,12.1,2.2,0,0.33,0.18,1.01,0,0.95,0.059,0,0,0,40.8,43.8,1.4,0,3.0,0,1.9,404,322,124,0.417,185,4.15,65,1.82,4.29,173,81,0,0,0.360,0.394,0,0,0
"Vacuno, cortes magros**, PRO-
MEDIO, crudo",138,71.6,22.2,5.5,63,2.15,2.56,0.31,0.23,0.19,0.006,0.041,0,0,0,0,0,0,0,0,1.05,60,322,13,0.067,202,2.08,18.0,4.86,5.73,5,0,1,1,0.075,0.203,2.10,0,0.08
"Vacuno, cortes semigrasos, (ej: lomo, carne picada especial, roast beef, paleta, bife angosto, tortuguita, palomita), PROMEDIO, horno/parrilla",225,58.7,28.2,12.5,86,5.02,5.84,0.66,0.37,0.23,0.012,0.045,0,0,0,0,0,0,0,0,1.12,62,321,15,0.086,222,2.79,20,6.27,5.67,7,0,4,4,0.073,0.261,2.76,0,0.12
Damasco,41,85.4,1.0,0.1,0,0.03,0.17,0.08,0,0.08,0,0,0,0,9.1,12.9,9.2,0,2.0,0,0.60,1,320,17,0.078,21,0.37,10,0.2,0.77,9,0,96,0,0.030,0.066,0,6.0,0
"Hamburguesa de carne vacuna, industrializada light",175,68.2,18.4,11.3,58,5.60,5.50,0.25,0.37,0.18,0.071,0.012,0,0,0,0,0,0,0.7,0,2.39,754,320,11,0.063,175,2.01,19,4.3,4.82,6,0,0,0,0.049,0.154,1.97,0,0
"Mejillón, crudo",83,83.0,11.9,2.2,28,0.43,0.51,0.61,0,0.02,0.020,0.070,0.188,0.253,3.7,3.7,0,0,0,0,1.59,286,320,26,0.094,197,3.95,34,1.6,1.60,42,0,48,48,0.160,0.210,12.00,8.0,0
"Carpincho, crudo",206,66.0,18.2,14.8,69,4.92,6.10,1.73,0.03,0.70,0.026,0.116,0,0,0,0,0,0,0,0,0.88,57,319,11,0.075,195,0.89,21,2.27,4.73,3,0,1,1,0.622,0.255,0.67,0.3,1.16
"Cerdo, PROMEDIO, crudo",206,66.0,18.2,14.8,69,4.92,6.10,1.73,0.03,0.70,0.026,0.116,0,0,0,0,0,0,0,0,0.88,57,319,11,0.075,195,0.89,21,2.27,4.73,3,0,1,1,0.622,0.255,0.67,0.3,0.7
"Champignones, frescos, crudos",24,92.5,3.1,0.3,0,0.05,0.00,0.16,0,0.16,0,0,0,0,2.3,3.3,2.0,0,1.0,0,0.85,5,318,3,0.318,86,0.50,9,0.52,3.61,17,0,0,0,0.081,0.402,0.04,2.1,0.20
"Hongos, frescos, crudos",24,92.45,3.1,0.3,0,0.05,0.00,0.16,0,0.16,0,0,0,0,2.3,3.3,2.0,0,1.0,0,0.85,5,318,3,0.318,86,0.50,9,0.52,3.61,17,0,0,0,0.081,0.402,0.04,2.1,0.20
"Brócoli, crudo",27,89.9,3.3,0.2,0,0.11,0.03,0.11,0,0.05,0.063,0,0,0,2.9,5.5,1.7,0,2.6,0,1.10,33,316,47,0.049,66,0.73,21,0.41,0.70,63,0,31,0,0.076,0.165,0,93.3,0
"Dorado, crudo",99,79.5,18.8,2.6,40,0.63,0.85,0.32,0,0.11,0.075,0.050,0.030,0.050,0,0,0,0,0,0,x,47,316,40,0.03,190,0.50,23,0.65,3.04,12,0,0,0,0.291,0.233,14.32,0,1.40
"Palometa, cruda",215,63.4,20.1,14.8,40,4.33,6.11,1.81,0,0.43,0.150,0,0.480,0.670,0.4,0.4,0,0,0,0,1.24,47,316,40,0.03,190,0.50,23,0.65,3.04,12,0,0,0,0.166,0.112,7.27,0,1.40
"Sábalo, crudo",148,69.3,22.7,6.4,40,1.15,1.71,0.67,0,0.12,0.075,0,0.145,0.115,0,0,0,0,0,0,1.9,47,316,40,0.03,190,0.50,23,0.65,3.04,12,0,0,0,0,0,10.00,0,2.00
Frangollo (maíz seco pisado),341,10.9,6.9,3.9,0,0.54,1.02,1.76,0,1.71,0.053,0,0,0,69.6,76.9,0.6,0,7.3,0,1.45,5,315,7,0.23,272,2.38,93,1.73,1.90,25,0,0,0,0.246,0.080,0,0,0
"Hígado de pollo, cocido",165,65.2,25.8,6.4,564,2.03,1.39,1.27,0.10,0.71,0.012,0.508,0,0,1.1,1.1,0,0,0,0,1.47,92,315,10,0.535,442,12.88,27,4.01,13.93,560,0,4296,4293,0.292,2.313,21.13,2.7,0
"Lengua, cruda",219,64.5,14.9,16.1,87,7.00,7.24,0.90,0.79,0.58,0,0.310,0,0,3.7,3.7,0,0,0,0,0.8,69,315,6,0.17,133,2.95,16,2.87,4.24,7,0,0,0,0.125,0.340,3.79,3.1,0.4
"Berro, crudo",18,93.6,1.7,0.3,0,0.02,0.24,0.23,0,0.15,0.076,0,0,0,2.2,3.3,4.4,0,1.1,0,1.10,60,314,222,0.17,52,1.62,38,0.23,0.60,80,0,346,0,0.118,0.207,0,111.3,0
"Coliflor, crudo",23,91.7,2.4,0.2,0,0.13,0.03,0.03,0,0.01,0.015,0,0,0,2.9,4.9,1.9,0,2.0,0,0.80,41,313,25,0.039,65,0.90,15,0.27,0.50,57,0,0,0,0.088,0.080,0,59.3,0
"Coliflor, hervido",19,92.8,1.8,0.5,0,0.07,0.03,0.22,0,0.09,0.105,0,0,0,1.8,4.1,2.1,0,2.3,0,0.80,41,313,25,0.039,65,0.90,15,0.27,0.48,40,0,0,0,0.079,0.076,0,50.4,0
"Hígado, crudo",130,70.8,20.4,3.6,275,1.23,0.48,0.47,0.17,0.30,0.007,0.141,0,0,3.9,3.9,0,0,0,0,1.31,69,313,5,9.755,387,4.90,18,4,13.18,290,0,4968,4948,0.189,2.755,59.30,1.3,1.20
Kiwi,56,83.1,1.1,0.5,0,0.03,0.05,0.29,0,0.25,0.042,0,0,0,11.7,14.7,9.0,0,3.0,0,0.61,3,312,34,0.13,34,0.31,17,0.14,0.34,25,0,4,0,0.027,0.025,0,92.7,0
"Ñoquis de papa frescos, artesa- nal, crudos",159,59.6,5.8,2.6,21,1.25,0.70,0.26,0.06,0.17,0.013,0.007,0,0,27.9,30.5,0.7,0,2.1,0,1.26,270,310,67,0.16,108,1.23,22,0.69,1.56,93,45,23,23,0.249,0.107,0.15,8.9,0.11
"Ñoquis de papa, envasados, cru- dos",159,59.6,5.8,2.6,21,1.25,0.70,0.26,0.06,0.17,0.013,0.007,0,0,27.9,30.5,0.7,0,2.1,0,1.26,270,310,67,0.16,108,1.23,22,0.69,1.56,93,45,23,23,0.249,0.107,0.15,8.9,0.11
"Harina de cebada, cruda",328,10.0,10.2,1.7,0,0.34,0.21,0.77,0,0.70,0.077,0,0,0,68.0,76.9,0.8,0,8.0,0,1.20,4,309,32,0.343,296,2.68,96,2,6.27,8,0,0,0,0.370,0.114,0,0,0
Barra de cereal fortificada,426,11.3,10.9,23.9,0,9.10,7.80,4.80,0,4.32,0.480,0,0,0,41.7,53.9,8.7,8.7,12.2,0,x,200,308,869,0.24,177,9.10,50,10,19.50,369,217,522,522,1.220,1.220,1.09,26.0,5.70
