Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Nutramigen LGG (gramo),514,2.3,14.1,27.0,0,11.30,9.30,5.10,0,4.30,0.400,0.172,0,0.086,53.6,53.6,4.5,4.5,0,0,3,240,560,470,0.38,260,9.10,40,5.1,5.10,134,79,450,450,0.400,0.450,1.52,61.0,10.00
"Espinaca, cruda",21,91.4,2.86,0.39,0,0.06,0.01,0.17,0,0.03,0.138,0,0,0,1.43,3.63,0.42,0,2.2,0,1.72,79,558,99,0.13,49,2.71,79,0.53,0.724,194,0,469,0,0.078,0.189,0,28.1,0
"Leche fórmula antireflujo, en pol- vo",504,6.4,10.9,26.0,3.0,7.50,10.90,5.80,0,4.50,0.580,0.090,0,0.060,56.7,56.7,45.4,0,0,0,x,198,555,420,0.39,299,5.40,47,4.9,4.60,129,76,467,467,0.430,0.910,1.40,94.0,7.6
"Perejil, crudo",47,83.9,3.7,1.0,0,0.13,0.30,0.12,0,0.12,0.008,0,0,0,5.7,9.0,0.9,0,3.3,0,2.40,56,554,138,0.149,58,6.20,50,1.07,0.30,152,0,421,0,0.096,0.054,0,282.0,0
"Acelga, hervida",16,92.7,1.9,0.1,0,0.01,0.02,0.03,0,0.06,0.040,0,0,0,2.0,4.1,1.1,0,2.1,0,1.26,179,549,58,0.163,33,2.26,86,0.33,0.36,9,0,306,0,0.034,0.086,0,18.0,0
"Leche fórmula 0-12 meses, sin lactosa, en polvo",504,7.0,10.7,26.3,35,10.60,9.90,5.10,0,4.13,0.671,0.062,0,0.051,56.0,56.0,20.0,0,0,0,x,158,549,372,0.349,216,6.40,42,4.7,4.10,129,76,504,504,0.410,0.670,1.23,87.3,8.2
Medallones de verdura congela- dos industrializados,222,44.5,10.0,4.7,0,0.70,1.30,2.60,0,2.55,0.052,0,0,0,35.0,40.8,0.5,0.5,5.8,0,x,395,547,96,0.52,133,2.91,107,1.1,1.37,62,14,150,0,0.186,0.226,0,7.2,0
"Anchoa, enlatada en aceite",203,50.3,28.9,9.7,85,2.20,3.77,2.56,0,0.36,0.017,0.010,0.763,1.292,0,0,0,0,0,0,11.1,3668,544,232,0.339,252,4.63,69,2.44,19.90,13,0,12,12,0.078,0.363,0.88,0,1.70
Granola,453,5.8,13.7,24.3,0,3.96,10.95,7.81,0.02,7.19,0.611,0,0,0,45.0,53.9,19.8,15.0,8.9,0,2.31,26,539,76,0.647,431,3.95,168,4.17,2.74,84,0,1,0,0.548,0.354,0,1.2,0
Pera orejón,262,24.0,2.3,0.4,0,0.04,0.13,0.15,0,0.15,0,0,0,0,62.2,71.6,62.2,0,7.5,0,1.7,6,533,34,0.371,59,2.10,33,0.39,1.30,0,0,0,0,0.061,0.106,0,9.2,0
Neocate polvo (gramo),483,10.0,13.0,24.5,0,8.90,9.60,4.80,0,4.32,0.480,0.082,0,0.082,52.5,52.5,4.7,4.7,0,0,x,189,525,475,0.41,341,7.30,51,5.3,4.90,109,64,406,406,0.540,0.540,1.30,51.6,8.80
Pacú,155,66.4,26.5,5.4,59,3.09,0.88,0.34,0,0.09,0.097,0.090,0.066,0.128,0.1,0.1,0,0,0,0,1.59,60,522,28,0.04,227,1.41,29,0.83,3.90,15,0,0,0,0.469,0.419,21.92,0,1.79
